卫视直播,#genre#
漫威电影,http://epg.112114.xyz/douyu/4282654
恐怖经典,http://epg.112114.xyz/douyu/1165374
华语电影,http://epg.112114.xyz/douyu/3928
怀旧90,http://epg.112114.xyz/douyu/9275635
麓山迷踪,http://epg.112114.xyz/douyu/4505431
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888
小九电影,http://epg.112114.xyz/douyu/7136517
连续剧1,http://epg.112114.xyz/douyu/4549169
连续剧2,http://epg.112114.xyz/douyu/7623292
连续剧3,http://epg.112114.xyz/douyu/5689514
连续剧4,http://epg.112114.xyz/douyu/7476264
连续剧5,http://epg.112114.xyz/douyu/4396972
小品,http://epg.112114.xyz/douyu/9817729
斗鱼小品,http://epg.112114.xyz/douyu/3980787
斗鱼电影1,http://epg.112114.xyz/douyu/2935323
斗鱼电影1,http://epg.112114.xyz/douyu/3485629
斗鱼电影2,http://epg.112114.xyz/douyu/7459925
斗鱼电影3,http://epg.112114.xyz/douyu/431460
斗鱼电影4,http://epg.112114.xyz/douyu/4246519
斗鱼电影5,http://epg.112114.xyz/douyu/7116591
斗鱼小品6,http://epg.112114.xyz/douyu/9817716
斗鱼电影9,http://epg.112114.xyz/douyu/6566671
斗鱼电影9,http://epg.112114.xyz/douyu/7655471
斗鱼电影11,http://epg.112114.xyz/douyu/8475821
斗鱼电影11,http://epg.112114.xyz/douyu/338759
斗鱼电影12,http://epg.112114.xyz/douyu/2793084
斗鱼电影13,http://epg.112114.xyz/douyu/5067952
斗鱼电影14,http://epg.112114.xyz/douyu/413573
斗鱼电影15,http://epg.112114.xyz/douyu/5033502
斗鱼电影16,http://epg.112114.xyz/douyu/426517
斗鱼电影17,http://epg.112114.xyz/douyu/1274132
斗鱼电影18,http://epg.112114.xyz/douyu/7314294
斗鱼电影19,http://epg.112114.xyz/douyu/6582435
斗鱼电影20,http://epg.112114.xyz/douyu/323876
斗鱼4K,http://epg.112114.xyz/douyu/9249162
斗鱼电影HD2,http://epg.112114.xyz/douyu/10240553
斗鱼电影HD6,http://epg.112114.xyz/douyu/747764
斗鱼电影HD8,http://epg.112114.xyz/douyu/8663752
斗鱼电影HD12,http://epg.112114.xyz/douyu/2436390
斗鱼电影HD16,http://epg.112114.xyz/douyu/1504768
斗鱼电影HD17,http://epg.112114.xyz/douyu/3637726
斗鱼电影HD18,http://epg.112114.xyz/douyu/9292492
斗鱼电影HD20,http://epg.112114.xyz/douyu/10395991
斗鱼电影HD21,http://epg.112114.xyz/douyu/10395986
斗鱼电影HD24,http://epg.112114.xyz/douyu/315131
斗鱼电影HD25,http://epg.112114.xyz/douyu/8945323
斗鱼电影HD27,http://epg.112114.xyz/douyu/248753
斗鱼电影HD29,http://epg.112114.xyz/douyu/9651304
斗鱼电影HD32,http://epg.112114.xyz/douyu/10240510
斗鱼电影HD33,http://epg.112114.xyz/douyu/52787
斗鱼电影HD36,http://epg.112114.xyz/douyu/1735337
斗鱼电影HD38,http://epg.112114.xyz/douyu/6003761
斗鱼电影HD39,http://epg.112114.xyz/douyu/9683979
斗鱼电影HD40,http://epg.112114.xyz/douyu/1226741
斗鱼搞笑HD1,http://epg.112114.xyz/douyu/9220456
斗鱼搞笑HD3,http://epg.112114.xyz/douyu/9067836
斗鱼搞笑HD4,http://epg.112114.xyz/douyu/59612
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
中国环球电视,http://bp-caster.bestv.com.cn/513/1/video.m3u8
俄罗斯,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
俄罗斯,https://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/mono.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
华盛顿DC,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
华盛顿DC,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
华盛顿DC,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛电视台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
欧洲巴尔干,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
EZTV2,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
EZTV6,http://vvlive.eztv.vip:80/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
EZTV1,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
CGTN,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
MyTime movie,https://mytime-tcl.amagi.tv/playlist1080-p.m3u8?blog.ntnas.top
MyTime movie,https://mytime-tcl.amagi.tv/playlist1080-p.m3u8?blog.ntnas.to
TV4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
